"name","type"
"school","character"
"subject","character"
"course","character"
"ID","character"
"Disciplinary
Belonging.Score.pre","numeric"
"Disciplinary
Belonging.Score.Range.pre","numeric"
"Disciplinary
Belonging.Score.SD.pre","numeric"
"Community_1.pre","numeric"
"Community_2.pre","numeric"
"Community_3.pre","numeric"
"Disciplinary
Belonging.Score.post","numeric"
"Disciplinary
Belonging.Score.Range.post","numeric"
"Disciplinary
Belonging.Score.SD.post","numeric"
"Community_1.post","numeric"
"Community_2.post","numeric"
"Community_3.post","numeric"
"Disciplinary
Belonging.Score.diff","numeric"
"Self-Efficacy.Score.pre","numeric"
"Self-Efficacy.Score.Range.pre","numeric"
"Self-Efficacy.Score.SD.pre","numeric"
"Efficacy_1.pre","numeric"
"Efficacy_2.pre","numeric"
"Efficacy_3.pre","numeric"
"Efficacy_4.pre","numeric"
"Efficacy_5.pre","numeric"
"Self-Efficacy.Score.post","numeric"
"Self-Efficacy.Score.Range.post","numeric"
"Self-Efficacy.Score.SD.post","numeric"
"Efficacy_1.post","numeric"
"Efficacy_2.post","numeric"
"Efficacy_3.post","numeric"
"Efficacy_4.post","numeric"
"Efficacy_5.post","numeric"
"Self-Efficacy.Score.diff","numeric"
"Social
Belonging.Score.mid","numeric"
"Social
Belonging.Score.Range.mid","numeric"
"Social
Belonging.Score.SD.mid","numeric"
"SocialBelongingMid_1.mid","numeric"
"SocialBelongingMid_2.mid","numeric"
"SocialBelongingMid_3.mid","numeric"
"SocialBelongingMid_4.mid","numeric"
"SocialBelongingMid_5.mid","numeric"
"SocialBelongingMid_6.mid","numeric"
"SocialBelongingMid_7.mid","numeric"
"SocialBelongingMid_8.mid","numeric"
"SocialBelongingMid_9.mid","numeric"
"SocialBelongingMid_10.mid","numeric"
"Course
Climate.Score.mid","numeric"
"Course
Climate.Score.Range.mid","numeric"
"Course
Climate.Score.SD.mid","numeric"
"Climate1Mid_1.mid","numeric"
"Climate1Mid_2.mid","numeric"
"Climate1Mid_3.mid","numeric"
"Climate1Mid_4.mid","numeric"
"Climate1Mid_5.mid","numeric"
"Climate1Mid_6.mid","numeric"
"Climate1Mid_7.mid","numeric"
"Climate1Mid_8.mid","numeric"
"Climate1Mid_9.mid","numeric"
"Climate2Mid_1.mid","numeric"
"Climate2Mid_2.mid","numeric"
"Climate2Mid_3.mid","numeric"
"Climate2Mid_4.mid","numeric"
"Climate2Mid_5.mid","numeric"
"Climate2Mid_6.mid","numeric"
"Climate2Mid_7.mid","numeric"
"Climate2Mid_8.mid","numeric"
"Climate2Mid_9.mid","numeric"
"Climate3Mid_1.mid","numeric"
"Climate3Mid_2.mid","numeric"
"Climate3Mid_3.mid","numeric"
"Climate3Mid_4.mid","numeric"
"Climate3Mid_5.mid","numeric"
"Climate3Mid_6.mid","numeric"
"Climate3Mid_7.mid","numeric"
"Climate3Mid_8.mid","numeric"
"Major","character"
"Major_9_TEXT","character"
"CourseInfluMaj_1","character"
"DiscPicture.pre","character"
"DiscPicture.post","character"
"survey","character"
"BarriersClosed1_1","character"
"BarriersClosed1_2","character"
"BarriersClosed1_3","character"
"BarriersClosed1_4","character"
"BarriersClosed1_5","character"
"BarriersClosed1_6","character"
"BarriersClosed2_7","character"
"BarriersClosed2_8","character"
"BarriersClosed2_9","character"
"BarriersClosed2_10","character"
"BarriersClosed2_11","character"
"BarriersClosed2_12","character"
"IndigenousIdentity","character"
"TwoSpirit","character"
"GeographicOrigin","character"
"RaceIdentity","character"
"RaceIdentity_10_TEXT","character"
"Racialization","character"
"ParentEducation","character"
"GenderIdentity","character"
"GenderIdentity_5_TEXT","character"
"TransIdentity","character"
"TransIdentity_4_TEXT","character"
"SexualIdentity","character"
"SexualIdentity_7_TEXT","character"
"LanguagesSchool","character"
"LanguagesSchool_18_TEXT","character"
"LanguagesHome","character"
"LanguagesHome_18_TEXT","character"
"WhenCanada","character"
"DisabilitySpecific","character"
"DisabilitySpecific_9_TEXT","character"
"DisabilityImpacts1","character"
"DisabilityImpacts1_6_TEXT","character"
"DisabilityImpacts2","character"
"DisabilityImpacts2_13_TEXT","character"
"PaidWork_5","character"
"Enrichment_1","character"
"Commuting_1","character"
"PersonalCommitments_1","character"
"NonExam","numeric"
"TermExam","numeric"
"FinalExam","numeric"
"TotalGrade","numeric"
"WeightedExam","numeric"
"Other","numeric"
"section","character"
